X_TL;X_TM;X_TR;X_ML;X_MM;X_MR;X_BL;X_BM;X_BR;Y_TL;Y_TM;Y_TR;Y_ML;Y_MM;Y_MR;Y_BL;Y_BM;Y_BR
1;-1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1
1;0;1;0;0;0;0;-1;0;0;1;0;1;1;1;1;0;1
0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1
0;1;1;0;0;0;0;-1;0;1;0;0;0;0;0;0;0;0
1;1;-1;0;0;0;0;-1;0;0;0;0;1;0;1;1;0;1
1;0;0;0;-1;0;0;1;-1;0;0;1;0;0;1;0;0;0
0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;0;0
0;0;0;-1;1;0;0;0;0;1;1;1;0;0;0;1;1;1
-1;-1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;1;1
0;0;0;0;-1;0;0;1;0;1;0;1;1;0;1;1;0;1
-1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
-1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0
0;1;1;1;-1;-1;-1;1;-1;1;0;0;0;0;0;0;0;0
0;1;1;1;-1;-1;0;0;-1;1;0;0;0;0;0;0;0;0
0;0;0;-1;1;1;-1;-1;1;1;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
0;1;0;0;-1;0;-1;1;1;1;0;1;1;0;1;0;0;0
1;-1;-1;1;0;1;0;1;-1;0;0;0;0;1;0;1;0;0
1;-1;0;-1;0;1;0;0;0;0;0;1;0;1;0;0;1;1
0;0;0;-1;0;1;-1;0;1;1;0;1;0;0;0;0;0;0
1;0;1;0;-1;-1;0;0;1;0;1;0;1;0;0;0;0;0
0;0;0;-1;0;1;0;0;1;0;0;1;0;0;0;0;0;0
1;-1;-1;1;1;0;-1;1;0;0;0;0;0;0;1;0;0;1
0;0;-1;0;-1;1;1;0;0;1;1;0;0;0;0;0;0;0
-1;-1;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0
0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1
-1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0
0;0;-1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0
0;0;1;0;0;0;-1;0;1;1;1;0;1;1;1;0;1;0
-1;0;1;-1;0;0;1;0;1;0;1;0;0;1;1;0;1;0
0;0;-1;0;0;0;1;0;1;1;1;0;1;1;1;0;1;0
1;-1;1;-1;1;0;-1;1;-1;0;0;0;0;0;1;0;0;0
-1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0
0;1;0;0;-1;0;1;-1;0;1;0;1;1;0;1;0;0;0
0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0
1;0;1;-1;0;-1;-1;1;0;0;0;0;0;1;0;0;0;0
0;-1;0;1;1;0;0;0;0;1;0;1;0;0;1;1;1;1
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
-1;-1;1;0;0;1;0;1;-1;0;0;0;1;1;0;1;0;0
1;0;0;0;0;-1;0;-1;1;0;0;0;0;1;0;0;0;0
1;-1;1;0;0;-1;0;1;-1;0;0;0;1;1;0;1;0;0
1;-1;0;1;1;0;-1;0;0;0;0;1;0;0;1;0;1;1
-1;0;1;0;0;1;0;0;0;0;1;0;1;1;0;1;1;1
0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1;1;-1;0;0;-1;0;0;0;0;0;0;1;1;0;1;1;1
-1;0;1;1;1;-1;-1;-1;1;0;1;0;0;0;0;0;0;0
1;0;-1;0;0;-1;1;1;0;0;0;0;0;0;0;0;0;1
0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
1;0;-1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0
0;0;-1;1;-1;1;0;1;-1;1;1;0;0;0;0;1;0;0
0;0;1;-1;0;0;0;1;0;0;0;0;0;1;0;0;0;0
-1;-1;1;1;0;1;-1;1;0;0;0;0;0;1;0;0;0;1
0;1;1;0;0;0;-1;0;0;1;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;-1;1;0;0;0;0;0;1;1;0
1;1;-1;0;0;1;0;0;-1;0;0;0;0;0;0;1;0;0
-1;1;0;0;0;1;0;0;-1;0;0;0;1;1;0;1;1;0
0;0;1;-1;1;0;0;0;0;1;1;0;0;0;1;1;1;1
-1;-1;1;1;0;1;-1;0;0;0;0;0;0;1;0;0;1;1
1;0;-1;-1;1;0;1;-1;0;0;0;0;0;0;0;0;0;1
1;1;-1;1;-1;1;0;-1;-1;0;0;0;0;0;0;1;0;0
1;-1;0;1;0;0;0;1;-1;0;0;0;0;0;0;1;0;0
1;-1;1;-1;1;0;-1;1;-1;0;0;0;0;0;1;0;0;0
-1;1;0;0;0;1;-1;0;0;0;0;1;1;1;0;0;1;1
-1;1;0;1;-1;0;1;-1;0;0;0;0;0;0;0;0;0;1
1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;1;-1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0;0;0;-1;0;0;0;0;1;0;0;0;0;0;0;1;0;0
